,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
454,463855,0,1,40,1,Artist,1.0,0,2.0,5,2
455,460344,0,1,52,1,Artist,14.0,0,2.0,5,2
457,460139,1,0,26,0,Artist,6.0,2,6.0,4,3
458,464126,0,0,55,1,Marketing,3.0,2,1.0,5,1
459,461286,0,0,20,0,Doctor,4.0,2,4.0,5,3
460,461621,0,1,87,1,Lawyer,0.0,1,2.0,5,2
461,460163,1,0,28,0,Healthcare,0.0,2,2.0,3,0
462,461958,1,0,38,0,Artist,2.0,2,2.0,2,0
463,464875,1,1,42,0,Entertainment,1.0,2,2.0,3,1
464,464791,1,1,42,0,Marketing,0.0,1,6.0,3,0
465,464579,0,0,29,0,Engineer,1.0,2,4.0,5,3
466,463531,1,0,32,1,Doctor,0.0,2,4.0,5,0
468,465486,0,1,59,0,Artist,1.0,1,2.0,5,2
469,460882,1,0,22,0,Healthcare,0.0,2,2.0,2,3
471,461298,0,1,78,1,Artist,1.0,1,2.0,5,2
472,461595,0,0,32,1,Healthcare,0.0,2,3.0,3,0
473,459260,1,1,37,1,Artist,0.0,0,4.0,6,2
474,462772,1,1,37,1,Healthcare,1.0,1,4.0,5,1
476,459143,1,1,47,0,Artist,0.0,1,4.0,5,1
477,464532,0,1,68,1,Lawyer,0.0,1,2.0,5,0
478,460056,1,0,30,1,Healthcare,3.0,2,5.0,0,2
479,466761,0,1,48,1,Entertainment,2.0,2,1.0,0,0
480,465469,0,0,43,1,Artist,6.0,2,1.0,5,2
481,461886,1,1,33,1,Healthcare,9.0,2,2.0,5,3
482,465680,1,1,31,0,Healthcare,0.0,0,5.0,3,3
483,459316,1,1,32,1,Healthcare,1.0,2,2.0,5,3
484,465609,0,0,21,0,Healthcare,1.0,2,4.0,1,3
485,467009,0,0,29,0,Homemaker,2.0,2,4.0,2,3
486,461766,0,1,35,1,Artist,1.0,2,2.0,3,0
487,464938,1,1,46,0,Artist,0.0,2,3.0,3,0
488,462034,0,1,38,1,Artist,9.0,1,2.0,1,1
489,464049,0,0,32,1,Healthcare,1.0,2,3.0,5,2
490,467925,0,0,28,1,Artist,3.0,2,7.0,1,0
491,463711,0,1,68,1,Lawyer,3.0,2,1.0,5,0
492,463846,0,1,45,1,Artist,4.0,2,1.0,5,2
493,462064,1,1,58,1,Artist,0.0,0,3.0,6,2
494,463249,1,0,28,0,Entertainment,1.0,2,2.0,6,0
495,464217,0,0,32,0,Healthcare,12.0,2,3.0,5,0
496,463378,1,0,30,1,Doctor,1.0,2,1.0,2,1
497,463035,0,1,42,0,Homemaker,3.0,0,4.0,5,3
500,465309,0,0,18,0,Healthcare,6.0,2,4.0,6,3
501,462688,0,1,29,1,Healthcare,8.0,2,3.0,2,3
502,459255,0,0,33,1,Healthcare,0.0,2,3.0,5,0
504,467492,0,1,57,1,Doctor,1.0,2,2.0,6,0
505,460789,1,1,36,1,Executive,1.0,2,3.0,5,3
506,467307,1,1,57,1,Executive,1.0,1,3.0,5,2
507,464026,1,0,18,0,Healthcare,1.0,2,2.0,5,3
509,462493,1,1,52,1,Artist,1.0,0,6.0,5,2
511,460452,0,1,37,1,Entertainment,0.0,0,2.0,0,1
512,459322,1,0,36,1,Marketing,0.0,2,1.0,5,0
513,464066,0,0,29,1,Healthcare,9.0,2,3.0,3,0
514,461114,1,1,45,1,Artist,1.0,0,4.0,2,2
515,465165,1,0,61,1,Artist,0.0,2,1.0,5,1
516,464526,1,1,52,1,Entertainment,1.0,0,4.0,5,0
517,460666,0,1,49,1,Homemaker,14.0,2,1.0,5,0
519,464096,0,0,31,0,Healthcare,1.0,2,5.0,3,2
520,464891,1,1,42,0,Entertainment,1.0,2,3.0,3,0
521,460107,1,1,51,1,Engineer,1.0,0,5.0,5,2
522,467708,0,0,42,1,Healthcare,8.0,2,1.0,6,3
523,461873,1,0,29,1,Doctor,1.0,2,4.0,5,2
524,465181,0,0,33,1,Healthcare,8.0,2,1.0,3,0
526,467320,0,0,21,0,Healthcare,0.0,2,4.0,1,3
